IATA,City,Latitude,Longitude
04G,Youngstown,41.1304722,-80.6195833
06A,Tuskegee,32.4605722,-85.6800278
06C,Schaumburg,41.9893408,-88.1012428
06N,Middletown,41.431912,-74.3915611
09J,Jekyll Island,31.0744722,-81.4277778
0A9,Elizabethton,36.3712222,-82.1734167
0G6,Bryan,41.4673056,-84.5067778
0G7,Seneca Falls,42.8835647,-76.7812318
0P2,Stewartstown,39.7948244,-76.6471914
0S9,Port Townsend,48.0538086,-122.8106436
0W3,Churchville,39.5668378,-76.2024028
10C,Greenwood,42.4028889,-88.3751111
17G,Bucyrus,40.7815556,-82.9748056
19A,Jefferson,34.1758638,-83.5615972
1A3,Copperhead,35.0158056,-84.3468333
1B9,Mansfield,42.0001331,-71.1967714
1C9,Hollister,54.01333333,-124.7683333
1CS,Bolingbrook,41.6959744,-88.1292306
1G3,Kent,41.1513889,-81.4151111
1G4,Peach Springs,35.899904,-113.815674
1H2,Effingham,39.07,-88.534
1OH,St. Marys,40.5553253,-84.3866186
1RL,Point Roberts,48.9797222,-123.0788889
23M,Quitman,32.0517,-88.4434
24C,Lowell,42.95392,-85.3439058
24J,Live Oak,30.300125,-83.0246944
25D,Forest Lake,45.2477456,-92.9943853
29D,Grove City,41.1460278,-80.16775
2A0,Dayton,35.48625,-84.9310833
2B2,Newburyport,42.7953611,-70.8394444
2G2,Steubenville,40.3602179,-80.7008742
2G9,Somerset,40.0388708,-79.0149951
2H0,Shelbyville,39.410556,-88.845556
2J9,Quincy,30.5978708,-84.557425
36U,Heber,40.4818056,-111.4288056
38W,Lynden,48.9558961,-122.4581183
3D2,Ephraim,45.1354167,-87.1879444
3G3,Wadsworth,41.0031572,-81.7564401
3G4,Ashland,40.9029722,-82.2556389
3J1,Ridgeland,32.4934167,-80.99175
3W2,Put-in-Bay,41.3521,-82.497
40J,Perry,30.0692778,-83.5805833
41N,Braceville,41.2111675,-80.9692572
47A,Canton,34.3122175,-84.4221556
49A,Ellijay,34.6282222,-84.5265833
49X,Chemehuevi Valley,34.528889,-114.431971
4A4,Cedartown,34.0186944,-85.1464722
4A7,Hampton,33.389099,-84.332397
4A9,Fort Payne,34.4736944,-85.7213889
4B8,Plainville,41.6893333,-72.8646944
4G0,Monroeville,40.4526389,-79.7749167
4G2,Hamburg,42.7008925,-78.9147569
4G4,Youngstown,40.9617953,-80.6773264
4I7,Greencastle,39.6335556,-86.8138056
4U9,Dell,44.7357483,-112.7200133
52A,Madison,33.612125,-83.4604444
54J,DeFuniak Springs,30.7311111,-86.1537778
55J,Fernandina Beach,30.6118333,-81.4611944
55S,Packwood,46.3625,-121.4067
57C,East Troy,42.7971667,-88.3726111
5B2,Ballston Spa,43.050722,-73.861638
60J,Ocean Isle Beach,33.9085056,-78.4366722
6A2,Griffin,33.2269722,-84.2749444
6J4,Saluda,33.5561,-81.4768
6K8,Tok,63.329444,-142.953611
6S0,Big Timber,45.8063889,-109.9811111
6S2,Florence,43.9828168,-124.1113687
6Y8,Beaver Island,45.721111,-85.520278
70J,Cairo,30.8879767,-84.1547353
70N,Sterling,41.3473569,-75.4158972
7A4,Apple River,42.4664444,-90.1693889
7D9,Geneva,41.7778322,-80.9039797
7N7,Pedricktown,39.7355633,-75.3977211
8M8,Lewiston,44.8065278,-84.2761944
93C,Richland Center,43.2833575,-90.2982819
99N,Bamberg,33.3045278,-81.1084167
9A1,Covington,33.6323083,-83.8474472
9A5,LaFayette,34.6884792,-85.2903319
9G1,Tarentum,40.6035463,-79.8261189
A39,Phoenix,32.99169922,-111.9209976
A50,Ellicott,38.87,-104.41
AAA,Anaa,-17.352606,-145.509956
AAC,El Arish,31.073333,33.835833
